row,col,x_km,y_km,lat,lon,depth_m,pressure_atm,biome,temperature_c,light_intensity,terrain_roughness,coral_coral_cover_pct,coral_health_index,coral_bleaching_risk,coral_biodiversity_index,current_u_mps,current_v_mps,current_speed_mps,current_stability,current_flow_direction,hazard_type,hazard_severity,hazard_notes,life_species,life_avg_depth_m,life_density,life_threat_level,life_behavior,life_trophic_level,life_prey_species,poi_id,poi_category,poi_label,poi_description,poi_research_value,resource_type,resource_family,resource_abundance,resource_purity,resource_extraction_difficulty,resource_environmental_impact,resource_economic_value,resource_description,biome_predators,biome_prey,biome_interaction_strengths
0,0,0.0,0.0,-12.34,145.67,880.7385923804425,86.5086012019847,slope,13.254194289307652,0.8241802010885082,0.4479525889946046,97.0,0.978,0.022,0.983,0.7352005843843631,0.3022177754157271,0.7948933784202382,medium,,,,,,,,,,,,['WRECK_002'],['archaeology'],['Sunken Freighter'],['Twentieth-century cargo hull resting on slope.'],[79],,,,,,,,,['Giant_Isopod'],['Abyssal_Plant'],[0.4]
0,1,1.0,0.0,-12.34,145.67922207006183,902.6644096201252,88.63732132234223,slope,13.224826918011468,0.8210479414828392,0.3782813059906709,84.0,0.979,0.021,0.899,0.6945474231645077,0.3085015966992794,0.75997984064741,medium,,,,,,,,,,,,,,,,,,,,,,,,,['Giant_Isopod'],['Abyssal_Plant'],[0.4]
0,2,2.0,0.0,-12.34,145.68844414012366,947.7689979825558,93.01640757112192,slope,13.13111484926748,0.8146044288596348,0.3364977491610444,68.0,0.688,0.312,0.729,0.6460999569200423,0.309273007158883,0.7163064618507774,low,,,,,,,,,,,,,,,,,,,,,,,,,['Giant_Isopod'],['Abyssal_Plant'],[0.4]
0,3,3.0,0.0,-12.34,145.6976662101855,1173.485001095025,114.93058263058494,slope,12.79868026800808,0.7823592855578535,0.3681282242471768,68.0,0.694,0.306,0.866,0.6526943625781026,0.2387951892271111,0.6950058081334627,low,,,,,,,,,,,,,,,,,,,,,,,,,['Giant_Isopod'],['Abyssal_Plant'],[0.4]
0,4,4.0,0.0,-12.34,145.70688828024734,1228.4558856096105,120.26756170967089,slope,12.801248002907156,0.7745063020557699,0.5253839152341483,60.0,0.991,0.009,0.98,0.6052231692729348,0.2135265748425238,0.6417855426766448,medium,,['trench_wall'],[4],['steep escarpment'],,,,,,,,['WRECK_004'],['archaeology'],['Sunken Freighter'],['Twentieth-century cargo hull resting on slope.'],[64],,,,,,,,,['Giant_Isopod'],['Abyssal_Plant'],[0.4]
0,5,5.0,0.0,-12.34,145.71611035030918,2015.9326349497624,196.72161504366625,seamount,11.338073753164265,0.6620096235786053,0.5945942791463599,,,,,0.5756162264523663,0.1546347663315706,0.5960251262435848,medium,,['trench_wall'],[4],['steep escarpment'],,,,,,,,,,,,,,,,,,,,,,,
0,6,6.0,0.0,-12.34,145.72533242037102,2034.636110733481,198.5374864789787,seamount,11.384169120237338,0.6593376984666455,0.4653666765440262,,,,,0.5840784400932839,0.2522148831927823,0.6362074909066638,high,,['trench_wall'],[4],['steep escarpment'],,,,,,,,,,,,,,,,,,,,,,,
0,7,7.0,0.0,-12.34,145.73455449043286,1302.7940467677054,127.48485890948596,slope,12.6852847569042,0.7638865647474706,0.3055749102178709,86.0,0.993,0.007,0.922,0.6168274857832753,0.226317989034669,0.6570357519788503,high,,['trench_wall'],[4],['steep escarpment'],,,,,,,,"['WRECK_014', 'REEF_042']","['archaeology', 'biology']","['Sunken Freighter', 'Reef Sanctuary']","['Twentieth-century cargo hull resting on slope.', 'High biodiversity coral zone.']","[84, 78]",,,,,,,,,['Giant_Isopod'],['Abyssal_Plant'],[0.4]
0,8,8.0,0.0,-12.34,145.7437765604947,1078.3965186963678,105.69869113556967,slope,13.151394275016417,0.7959433544719474,0.2232368853542689,72.0,0.982,0.018,0.943,0.7061464543901954,0.171289378499031,0.7266242951033419,medium,,,,,,,,,,,,['REEF_048'],['biology'],['Reef Sanctuary'],['High biodiversity coral zone.'],[87],,,,,,,,,['Giant_Isopod'],['Abyssal_Plant'],[0.4]
0,9,9.0,0.0,-12.34,145.75299863055653,1167.7626799914203,114.37501747489516,slope,12.87156353054174,0.7831767600012256,0.2746418662493236,81.0,0.99,0.01,0.946,0.7179733134525091,0.1963373844336839,0.7443346339894678,medium,,,,,,,,,,,,"['WRECK_025', 'REEF_032']","['archaeology', 'biology']","['Sunken Freighter', 'Reef Sanctuary']","['Twentieth-century cargo hull resting on slope.', 'High biodiversity coral zone.']","[60, 74]",,,,,,,,,['Giant_Isopod'],['Abyssal_Plant'],[0.4]
